Date,Date1,uk_b_w_delta,de_b_w_delta,ca_b_w_delta,jpy_b_w_delta,us_b_w_delta,cn_b_w_delta,usdcad_w_delta,gbpusd_w_delta,eurusd_w_delta,usdjpy_w_delta,audusd_w_delta
5/30/2014,5/30/2014,0.077,0.059,0.063,0.011,0.082,0.04,-0.0087,-0.0047,-0.0013,-0.72,-0.0023
6/6/2014,6/6/2014,-0.074,0.013,-0.064,-0.018,-0.101,-0.05,0.0072,-0.0164,0.0106,0.56,-0.0065
6/13/2014,6/13/2014,-0.065,-0.004,0.026,-0.009,0.013,-0.02,0.0103,-0.004,-0.006,-0.06,0.0016
6/20/2014,6/20/2014,-0.021,0.013,-0.012,0.019,-0.043,0.04,0.0095,-0.0022,-0.0054,0.66,-0.0045
6/27/2014,6/27/2014,0.124,0.088,0.048,0.02,0.067,-0.01,0.0007,-0.0123,0.0051,-0.63,0.0058
7/4/2014,7/4/2014,-0.111,-0.003,-0.09,-0.005,-0.121,-0.04,-0.0079,0.0043,-0.0015,0.74,-0.003
7/11/2014,7/11/2014,0.167,0.056,0.122,0.028,0.113,0.08,-0.0004,0.0034,0.008,-0.02,-0.001
7/18/2014,7/18/2014,0.029,0.057,0.051,-0.015,0.046,-0.11,-0.0078,0.0105,0.0098,-0.48,1E-04
7/25/2014,7/25/2014,0.012,0.01,0.049,0.006,0.017,0.004,-0.0113,0.016,0.0008,-0.8,0.0086
8/1/2014,8/1/2014,0.03,0.023,0.009,-0.009,-0.021,0.016,-0.0052,0.0047,0.0015,0.49,0.0032
8/8/2014,8/8/2014,0.093,0.091,0.09,0.021,0.081,0.021,0.0082,0.0077,0.0009,-0.22,-0.0047
8/15/2014,8/15/2014,0.151,0.115,0.048,0.009,0.091,0.093,-0.0057,0.0143,0.0149,-1.58,0.0007
8/22/2014,8/22/2014,-0.014,0.003,-0.028,-0.012,-0.037,-0.028,0.0094,-0.0061,0.0052,0.17,-0.0048
8/29/2014,8/29/2014,0.111,0.07,0.054,0.013,0.048,0.032,-0.0008,0.0262,0.0178,-0.91,-0.0049
9/5/2014,9/5/2014,-0.09,-0.038,-0.041,-0.045,-0.068,-0.025,-0.0211,-0.0069,0.0006,-2.19,0.0323
9/12/2014,9/12/2014,-0.047,-0.15,-0.134,-0.042,-0.177,-0.008,0.014,-0.003,0.0131,-1.66,0.0087
9/19/2014,9/19/2014,-0.007,0.043,-0.031,0.017,0.018,0.148,-0.0195,0.0046,0.0145,-0.27,0.0167
9/26/2014,9/26/2014,0.044,0.049,0.064,0.034,0.031,0.102,-0.0103,0.0262,0.0171,-0.46,0.0082
10/3/2014,10/3/2014,0.082,0.067,0.058,0,0.052,0,0.0036,-0.0092,-0.0101,1.99,-0.001
10/10/2014,10/10/2014,0.148,0.025,0.081,0.023,0.125,-0.017,-0.0077,-0.0022,-0.0132,0.57,-0.0083
10/17/2014,10/17/2014,0.005,0.016,-0.001,0.019,-0.003,0.218,0.0049,0.0007,0.0089,-1.05,-0.0033
10/24/2014,10/24/2014,-0.049,-0.035,-0.051,0.017,-0.091,-0.018,-0.0026,0.0099,0.0153,-4.11,0.0006
10/31/2014,10/31/2014,0.007,0.058,-0.024,0.013,-0.066,0.064,-0.0054,0.01,0.0057,-1.66,0.0125
11/7/2014,11/7/2014,0.016,-0.002,0.016,-0.035,0.013,0.165,0.0049,0.0211,-0.0063,-1.79,-0.0117
11/14/2014,11/14/2014,0.069,0.032,-0.042,-0.017,-0.025,-0.019,0.0054,0.0009,0.013,-1.12,0.0089
11/21/2014,11/21/2014,0.039,0,0.018,0.009,-0.005,0.049,-0.0196,0.001,-0.0073,-0.81,0.0156
11/28/2014,11/28/2014,0.115,0.07,0.166,0.04,0.137,0.087,-0.0003,0.0061,0.0158,-2.58,0.0151
12/5/2014,12/5/2014,-0.113,-0.085,-0.102,-0.015,-0.153,-0.134,-0.0134,-0.0153,-0.0168,3.15,0.0046
12/12/2014,12/12/2014,0.229,0.157,0.185,0.035,0.207,0.063,-0.0034,0.0102,0.0249,-1.3,0.011
12/19/2014,12/19/2014,-0.033,0.035,-0.045,0.028,-0.044,0.021,-0.0014,0.0072,0.0044,-0.85,0.0019
12/26/2014,12/26/2014,-0.038,0,-0.097,0.019,-0.063,0.051,-0.0137,0.0223,0.0174,-0.09,0.0018
1/2/2015,1/2/2015,0.139,0.087,0.126,-0.005,0.102,0.052,-0.007,0.0118,0.0105,1.97,-0.0131
1/9/2015,1/9/2015,0.126,0.011,0.079,0.045,0.133,-0.004,-0.0113,0.0033,0.0298,0.62,-0.0015
1/16/2015,1/16/2015,0.067,0.039,0.143,0.011,0.15,0.105,-0.0447,0.0143,0.0352,-0.39,0.0304
1/23/2015,1/23/2015,0.059,0.097,0.028,0,0.01,0.078,-0.0261,-0.0056,-0.0152,0.22,0.0104
1/30/2015,1/30/2015,0.154,0.04,0.155,-0.054,0.142,-0.044,0.0164,-0.0144,-0.0007,-1.73,-0.0033
2/6/2015,2/6/2015,-0.305,-0.057,-0.153,-0.063,-0.265,0.089,0.0064,-0.0168,-0.0088,0.29,0
2/13/2015,2/13/2015,-0.05,0.02,-0.033,-0.072,-0.126,0.067,-0.0087,0.0023,0.0016,-0.45,-0.0076
2/20/2015,2/20/2015,-0.073,-0.017,0.027,0.032,-0.106,0.032,0.0029,-0.0048,0.0191,-0.54,0.0027
2/27/2015,2/27/2015,0.013,0.056,0.121,0.047,0.108,-0.005,-0.0104,0.0377,0.0331,-1.02,0.0085
3/6/2015,3/6/2015,-0.168,-0.057,-0.316,-0.057,-0.225,-0.084,-0.0177,0.0319,0.0345,-0.74,0.0082
3/13/2015,3/13/2015,0.232,0.123,0.109,-0.008,0.111,0.059,0.023,-0.0212,-0.0324,1.27,-0.015
3/20/2015,3/20/2015,0.17,0.078,0.152,0.087,0.159,0.004,-0.004,0.0082,-0.0049,0.89,0.0031
3/27/2015,3/27/2015,-0.034,-0.035,-0.082,-0.057,-0.0364,-0.012,0.0124,-0.0023,-0.0081,0.22,0.0103
4/3/2015,4/3/2015,-0.041,0.003,0.051,0.018,0.0384,0.073,-0.0116,0.0273,0.0388,-1.33,-0.0048
4/10/2015,4/10/2015,0.005,0.029,-0.098,0.013,-0.1213,-0.131,0.0353,-0.0335,-0.0222,1.44,-0.0112
4/17/2015,4/17/2015,0,0.073,-0.018,0.031,0.0733,0.148,0.0056,-0.021,-0.0054,0.06,-0.0021
4/24/2015,4/24/2015,-0.072,-0.089,-0.03,0.011,-0.0468,0.094,0.0025,0.0031,-0.0345,-1.29,-0.0011
5/1/2015,5/1/2015,-0.202,-0.228,-0.22,-0.09,-0.2101,0.128,0.0075,-0.0316,-0.0013,0.51,-0.0095
5/8/2015,5/8/2015,0.024,-0.172,-0.004,-0.053,-0.0307,-0.021,0.0065,-0.0281,-0.0247,0.43,-0.0111
5/15/2015,5/15/2015,0.035,-0.087,-0.004,0.016,0.0054,0.036,-0.0283,0.0254,0.0434,-2.17,0.0222
5/22/2015,5/22/2015,-0.056,0.034,0.003,-0.028,-0.0668,-0.012,-0.0135,0.0176,-0.0002,-2.54,0.0165
5/29/2015,5/29/2015,0.097,0.107,0.163,0.015,0.079,-0.131,0.0007,0.0012,-0.0132,-1.48,0.0022
6/5/2015,6/5/2015,-0.245,-0.355,-0.2,-0.118,-0.2845,0.04,0.0131,-0.0296,-0.0155,2.18,-0.0111
6/12/2015,6/12/2015,0.088,0.026,0.026,-0.018,0.0014,0.017,0.005,-0.0315,-0.0129,0.52,-0.0026
6/19/2015,6/19/2015,-0.039,0.032,0.056,0.08,0.0712,0.033,-0.005,0.013,0.0197,-0.87,0.011
6/26/2015,6/26/2015,-0.116,-0.11,-0.115,-0.061,-0.165,-0.01,-0.0215,0.0108,-0.0118,-0.05,0.0092
7/3/2015,7/3/2015,0.049,-0.042,0.061,-0.051,-0.0545,-0.044,-0.0073,0.0035,-0.0147,-0.8,0.0024
7/10/2015,7/10/2015,-0.116,-0.168,-0.001,0.028,-0.1015,0.157,-0.0291,-0.0081,0.0295,-1.51,0.0046
7/17/2015,7/17/2015,0.058,0.098,0.154,0.005,0.0376,-0.016,-0.0051,0.0094,-0.0146,0.33,0.0087
7/24/2015,7/24/2015,0.155,0.103,0.074,0.012,0.099,0.049,-0.0035,-0.0106,-0.0003,-0.21,-0.0035
7/31/2015,7/31/2015,0.043,0.05,0.031,0.01,0.0787,0.026,-0.0044,0.0136,0.0021,-0.29,-0.0098
8/7/2015,8/7/2015,0.05,-0.006,-0.037,-0.017,0.0321,0.04,0.0038,-0.016,-0.0148,-0.07,0.0033
8/14/2015,8/14/2015,-0.017,0.013,0.055,0.026,-0.0122,-0.051,-0.0075,-0.0043,-0.0252,2.13,0.0047
8/21/2015,8/21/2015,0.185,0.089,0.09,0.03,0.1524,0.003,-0.0034,0.0287,0.0188,0.54,0.0135
8/28/2015,8/28/2015,-0.192,-0.204,-0.207,-0.032,-0.1825,0.124,-0.0053,0.0229,0.0035,2.52,0.0245
9/4/2015,9/4/2015,0.136,0.066,-0.016,0.014,0.0404,0.097,0.0004,-0.0247,-0.0183,-1.58,-0.017
9/11/2015,9/11/2015,0,0.007,0.011,0.013,-0.0393,-0.033,0.0043,-0.0094,0.0054,0.57,-0.0108
9/18/2015,9/18/2015,0.003,-0.004,-0.005,0.006,0.0494,0.049,-0.0093,0.033,0.0082,-0.45,0.0156
9/25/2015,9/25/2015,0.003,0.014,-0.045,-0.003,-0.018,0.003,0.0164,0.0025,-0.0014,0.46,-0.0019
10/2/2015,10/2/2015,0.128,0.121,0.123,0.002,0.1587,0.074,0.022,-0.0145,-0.0141,-0.22,-0.0272
10/9/2015,10/9/2015,-0.134,-0.1,-0.114,-0.02,-0.1041,0.015,0.004,-0.0119,0.0007,0.71,0.0053
10/16/2015,10/16/2015,0.061,0.065,0.013,0.004,0.0194,0.085,-0.0262,0.0128,0.0347,-2.09,0.0045
10/23/2015,10/23/2015,-0.042,0.038,-0.037,0.02,-0.0603,0.12,0.0101,-0.0112,0.0017,0.73,0.0083
10/30/2015,10/30/2015,-0.075,-0.013,-0.068,0.016,-0.0715,-0.037,-0.0234,0.0403,0.0287,-2.71,0.0082
11/6/2015,11/6/2015,-0.107,-0.177,-0.154,-0.012,-0.185,-0.052,-0.0014,-0.0183,-0.002,0.67,-0.0095
11/13/2015,11/13/2015,0.066,0.1354,0.093,0.037,0.0632,-0.015,-0.0029,0.0031,0.0091,-0.54,-0.0118
11/20/2015,11/20/2015,0.088,0.0667,0.021,-0.023,-0.0141,-0.008,-0.0028,0.0147,0.005,0.02,0.0037
11/27/2015,11/27/2015,0.077,0.0291,0.077,0.005,0.0528,0.112,-0.0008,-0.007,-0.0283,-0.4,-0.0148
12/4/2015,12/4/2015,-0.101,-0.2188,0.011,-0.03,-0.0405,0.023,-0.037,-0.0118,-0.0114,2.34,0.0147
12/11/2015,12/11/2015,0.103,0.1379,0.148,0.012,0.1529,0.031,-0.0208,0.0273,0.0102,-0.17,0.0005
12/18/2015,12/18/2015,0.011,0.0111,0.029,0.041,-0.0263,0.09,0.009,-0.0019,-0.0092,1.05,-0.0102
12/25/2015,12/25/2015,-0.075,-0.0613,0.014,-0.011,-0.03,0.148,-0.00013,0.0185,0.0102,0.085,-0.00103
1/1/2016,1/1/2016,-0.089,-0.0187,-0.038,0.009,-0.0213,-0.012,-0.02792,0.02079,-0.00535,2.804,0.03205
1/8/2016,1/8/2016,0.136,0.0564,0.051,0.035,0.1201,-0.033,-0.03448,0.02521,0.00259,-0.152,0.00728
1/15/2016,1/15/2016,0.12,0.0536,0.174,0.005,0.0879,0.092,0.0418,-0.00192,0.01144,-1.898,-0.01528
1/22/2016,1/22/2016,-0.032,0.002,-0.163,-0.018,0.0244,-0.029,0.01362,0.00183,-0.00402,-2.33,-0.00753
1/29/2016,1/29/2016,0.13,0.156,0.083,0.135,0.1327,-0.011,0.00817,-0.02632,-0.03237,4.418,-0.00099
2/5/2016,2/5/2016,-0.001,0.017,0.104,0.064,0.0747,0.027,0.00862,0.01368,0.01073,0.906,-0.00423
2/19/2016,2/19/2016,0.04,0.094,0.05,0.066,0.0343,0.019,0.02679,0.04317,0.01782,-1.352,0.00106
2/26/2016,2/26/2016,0.05,0.059,-0.056,0.075,-0.0106,-0.009,0.0206,-0.0361,-0.00848,-0.262,-0.03098
3/4/2016,3/4/2016,-0.101,-0.094,-0.093,-0.025,-0.1325,-0.023,0.00966,-0.01499,-0.01536,0.055,-0.0142
3/11/2016,3/11/2016,-0.113,-0.064,-0.096,-0.023,-0.1028,0.041,0.02292,-0.01051,-0.01084,2.156,-0.00528
3/18/2016,3/18/2016,0.116,0.055,0.084,0.088,0.0931,0.014,-0.02074,0.03163,0.0096,-1.264,0.00697
3/25/2016,3/25/2016,-0.006,0.039,0.018,0.002,-0.025,0.003,0.02672,-0.0097,-0.02261,1.675,-0.01752
4/1/2016,4/1/2016,0.006,0.033,0.042,-0.035,0.1244,0.041,0.00248,0.00946,-0.00037,3.409,0.01247
4/8/2016,4/8/2016,0.054,0.022,0.016,0.015,0.0364,-0.025,0.01556,-0.0072,0.01235,-0.633,-0.01654
4/15/2016,4/15/2016,-0.065,-0.029,-0.024,0.03,-0.0316,0.003,0.02756,-0.02208,0.00701,-3.451,-0.00485
4/22/2016,4/22/2016,-0.199,-0.118,-0.231,-0.004,-0.1587,0.008,0.01116,-0.01538,-0.02231,5.317,0.01055
4/29/2016,4/29/2016,-0.01,-0.073,-0.001,-0.035,0.0492,0.074,-0.03731,0.01665,0.00598,-0.81,0.02419
5/6/2016,5/6/2016,0.191,0.12,0.168,0.021,0.0403,0.03,-0.00102,0.00539,0.00856,-1.44,0.00961
5/13/2016,5/13/2016,0.054,0.038,0.091,-0.006,0.0822,0.072,-0.01728,-0.01358,0.00861,-1.488,0.00329
5/20/2016,5/20/2016,-0.083,-0.022,-0.069,-0.009,-0.135,0.009,0.00755,-0.01097,0.01087,-0.28,0.00465
5/27/2016,5/27/2016,-0.014,0.016,0.008,0.007,-0.0108,0.019,0.0085,0.00913,-0.0241,3.776,-0.01868
6/3/2016,6/3/2016,0.192,0.072,0.182,-0.012,0.1715,-0.035,0.01849,0.02194,0.01125,-0.264,-0.00136
6/10/2016,6/10/2016,0.044,0.047,0.046,0.031,0.0618,0,-0.01023,-0.01222,-0.0031,2.629,-0.00253
6/17/2016,6/17/2016,0.062,-0.0161,-0.014,-0.013,0.012,0.071,-0.01513,0.08161,0.02314,2.466,-0.0037
6/24/2016,6/24/2016,0.092,0.1071,0.002,0.038,0.0806,0.01,0.01245,0.01352,-0.0094,-0.716,-0.00678
7/1/2016,7/1/2016,0.18,0.0392,0.061,0.07,0.0494,0.049,-0.0124,0.03361,0.00828,2.194,-0.01055
7/8/2016,7/8/2016,0.126,0.0544,0.112,0.022,0.0542,-0.005,0.01101,-0.02739,-0.00183,-4.88,-0.00372
7/15/2016,7/15/2016,-0.111,-0.1941,-0.146,-0.057,-0.204,-0.037,-0.01982,0.01067,0.00767,-0.699,0.01274
7/22/2016,7/22/2016,0.019,0.029,0.066,-0.004,0.0087,0.057,0.00871,-0.01155,-0.02083,4.147,-0.0136
7/29/2016,7/29/2016,0.098,0.089,0.09,-0.041,0.1201,0.005,-0.01263,0.01692,0.00938,0.423,-0.00246
8/5/2016,8/5/2016,0.026,-0.048,0.013,-0.091,-0.1099,0.068,0.0221,0.01705,-0.00742,0.655,-0.00471
8/12/2016,8/12/2016,0.155,0.046,0.055,0.037,0.0802,0.065,0.00979,-0.01621,-0.01591,1.099,0.00308
8/19/2016,8/19/2016,-0.086,-0.052,-0.078,-0.028,-0.0714,0,-0.01223,-0.00625,0.01239,-1.179,0.00502
8/26/2016,8/26/2016,0.071,0.046,0.014,-0.005,-0.0275,0.006,0.00155,-0.01792,0.00297,-2.093,-0.00145
9/2/2016,9/2/2016,-0.062,-0.006,0.025,-0.054,0.0169,0.001,-0.00408,0.00265,-0.00714,1.379,0.00251
9/9/2016,9/9/2016,-0.159,-0.05,-0.101,-0.006,-0.0605,0.011,-0.01718,0.02621,0.00812,0.254,0.00532
9/16/2016,9/16/2016,0.01,0.016,-0.037,0.034,-0.0211,-0.019,0.00495,0.00411,-0.00767,1.225,-0.01325
9/23/2016,9/23/2016,0.146,0.084,0.153,0.008,0.0725,0.027,0.00537,0.00035,-0.00045,-0.387,-0.00384
9/30/2016,9/30/2016,-0.022,0.048,0.031,0.039,0.0188,0.021,0.01164,0.0261,0.02191,-1.099,-0.00114
10/14/2016,10/14/2016,-0.138,-0.047,-0.006,-0.001,-0.0339,0.03,-0.01898,-0.00522,0.00894,0.516,0.00176
10/21/2016,10/21/2016,0.098,0.06,0.122,0.003,0.0525,0.12,-0.00391,0.00321,-0.0103,-0.864,0.00054
10/28/2016,10/28/2016,-0.195,-0.172,-0.131,-0.01,-0.1156,-0.005,0.00139,-0.03287,-0.01611,1.514,-0.00857
11/4/2016,11/4/2016,0.12,0.037,0.044,-0.04,0.0724,-0.053,-0.018,-0.01254,0.02373,-2.917,0.01247
11/11/2016,11/11/2016,-0.173,-0.141,-0.246,-0.031,-0.3311,-0.103,0.00074,0.02185,0.02439,-3.998,0.02102
11/18/2016,11/18/2016,-0.01,0.082,0.008,-0.062,-0.1164,-0.095,-0.00165,-0.01114,-0.0005,-2.175,-0.0108
11/25/2016,11/25/2016,0.021,0.049,-0.003,0.004,-0.0346,0.049,0.02328,-0.0258,-0.00658,-0.686,-0.00105
12/2/2016,12/2/2016,-0.004,-0.051,-0.063,-0.007,-0.0582,-0.171,0.01567,0.00586,-0.0025,-2.207,-0.00397
12/9/2016,12/9/2016,-0.037,-0.063,-0.074,-0.02,-0.086,-0.065,-0.02049,0.01117,0.01038,-2.452,0.01408
12/16/2016,12/16/2016,0.061,0.098,-0.06,-0.017,-0.0819,-0.255,-0.02031,0.02108,-0.0001,0.493,0.01066
12/23/2016,12/23/2016,0.111,0.101,0.013,0.031,0.0377,0.085,0.0089,-0.00459,-0.00702,0.247,-0.0031
12/30/2016,12/30/2016,0.066,0.013,0.082,0.012,0.1136,0.234,0.02088,0.00595,-0.00188,-0.114,-0.00921
1/6/2017,1/6/2017,-0.117,-0.111,0.025,-0.013,0.0583,-0.198,0.01209,0.00671,-0.01042,2.587,-0.02051
1/13/2017,1/13/2017,-0.022,-0.032,-0.03,0.008,0.0322,0.032,-0.01956,-0.03144,-0.00739,-0.077,-0.0066
1/20/2017,1/20/2017,-0.098,-0.114,-0.045,-0.01,-0.1124,-0.031,0.01885,-0.01745,0.00071,-0.736,0.00103
1/27/2017,1/27/2017,-0.065,-0.065,-0.062,-0.018,-0.0522,-0.074,0.0103,0.00844,-0.00653,2.2,-0.01247
2/3/2017,2/3/2017,0.137,0.072,0.015,-0.011,0.0119,0.002,-0.00614,-0.00071,0.0148,-0.796,0.00026
2/10/2017,2/10/2017,0.091,0.095,0.032,0.012,0.0539,0.071,-0.0006,0.00752,0.00231,0.755,-0.00037
2/17/2017,2/17/2017,0.065,0.024,0.005,-0.004,0.0051,0.087,-0.00158,-0.00387,0.00583,0.864,-0.00026
2/24/2017,2/24/2017,0.152,0.136,0.124,0.025,0.1263,0.035,-0.02729,0.01552,-0.00582,-1.674,0.00797
3/3/2017,3/3/2017,-0.034,-0.153,-0.099,-0.022,-0.1415,0.04,-0.00816,0.01156,-0.00751,-0.634,0.004
3/10/2017,3/10/2017,-0.084,-0.151,-0.132,-0.014,-0.1001,-0.056,0.01137,-0.02299,-0.00583,2.193,-0.01677
3/17/2017,3/17/2017,-0.04,0.031,0.082,0.025,0.0796,0.119,-0.00426,-0.00859,-0.00563,1.387,0.00768
3/24/2017,3/24/2017,0.056,0.035,0.127,0.004,0.0792,0.044,0.00553,-0.00343,0.01657,-0.378,-0.00069
3/31/2017,3/31/2017,0.083,0.054,-0.049,-0.008,-0.0307,-0.03,-0.01018,0.0167,0.00652,0.196,0.01305
4/7/2017,4/7/2017,0.074,0.088,0.041,0.014,0.016,0.067,0.00863,-0.01542,-0.00291,2.485,-0.00771
4/14/2017,4/14/2017,0.035,0.053,0.085,0.043,0.1521,-0.029,-0.01847,-0.02659,-0.00901,-0.372,0.00398
4/21/2017,4/21/2017,-0.002,-0.075,0.032,-0.004,-0.032,-0.039,-0.01695,-0.01244,0.00056,-1.207,0.00848
4/28/2017,4/28/2017,-0.049,0.037,-0.031,0.009,0.0269,0.013,-0.00055,-0.00957,-0.00988,-1.067,0.00613
5/5/2017,5/5/2017,-0.014,-0.088,-0.001,-0.006,-0.0577,-0.074,-0.00486,0.01036,0.00838,-0.395,0.00174
5/12/2017,5/12/2017,0.034,0.022,-0.048,-0.024,0.0249,-0.089,0.01928,-0.01418,-0.0271,1.988,-0.00623
5/19/2017,5/19/2017,0.02,0.031,0.116,0.005,0.0967,0.073,0.00565,0.02043,0.00298,-0.079,0.00018
